gender,occupation_type,avg_work_hours_per_day,avg_rest_hours_per_day,avg_sleep_hours_per_day,avg_exercise_hours_per_day,age_at_death
Female,Teacher,-1.3457512471399964,2.0127770852010602,-1.449112395484409,-0.4355326106565557,88
Male,Office Worker,0.2953930026850108,0.6972686972376517,-0.8064210497653237,-1.198555197943416,76
Female,Manager,2.512282940153544,-1.978000654431054,0.37530174720202725,-0.3173178436121127,78
Female,Freelancer,0.9895163083487017,-0.29640277623929634,0.07814338305234272,-1.3060231679838188,74
Male,Engineer,0.381485815790585,-0.3245635062568614,-0.06698046920680562,0.20927520958586132,78
Female,Manual Laborer,-0.1942598718529421,1.6507105564037916,-2.133267698991823,-0.704202535757563,87
Male,Driver,0.8388538854139473,-1.100995062455448,0.8175839636108607,-0.005660730494944345,64
Female,Teacher,-0.48482311608425527,0.04957190683364918,-0.49544136635286273,1.6063588201110985,78
Female,Retail Worker,-1.3080856414063076,-0.5820330378460303,1.8127189505307348,1.3484356920141314,71
Male,Technician,-0.7215783521245839,0.7133605429619747,0.16798195826038687,-0.7149493327616032,94
Female,Freelancer,-1.0713304053659785,1.1478403775186965,0.4444083435159072,-1.6176802811009872,94
Male,Manual Laborer,1.4630267804293597,-0.8354796080041181,-0.1222657462579098,-0.5000133926807975,85
Female,Scientist,-0.694674348029092,-0.3245635062568614,0.6240854939319967,1.2839549099898901,86
Female,Manager,2.5660909483445278,-1.978000654431054,-0.9308129231303077,1.6063588201110985,80
Male,Teacher,-0.8238135676874528,-0.5136426935176573,0.9212438580816813,1.5848652261030178,81
Female,Scientist,-0.7377207545818787,0.27888070840525264,-0.41942411040759436,1.3806760830262526,96
Male,Scientist,-0.5063463193606483,-0.38893088915415364,2.089145335786256,-1.198555197943416,64
Male,Engineer,-0.355683896425894,0.41163843563091773,0.20944591604871532,-0.7149493327616032,72
Male,Freelancer,1.3715531665046874,-1.3142120183027286,0.5411575783553398,-0.07014151251918611,85
Male,Entrepreneur,1.059466718996981,-1.0486965638513983,0.1334286601034469,0.47794513468686844,83
Female,Manual Laborer,0.015591360091895127,-0.3366323905501038,0.9696184755013976,-0.6397217537333212,90
Female,Healthcare Worker,-0.39873030297868106,0.3191103227160601,-0.03242717104986566,-0.005660730494944345,82
Female,Office Worker,-0.5762967300089278,-0.2239894704798424,0.3200164701509237,1.251714518977769,85
Female,Manual Laborer,0.7204762673937826,-0.6826070736230493,1.0318144121838897,-1.2200487919514966,81
Male,Office Worker,-0.9260487832503224,1.7311697850254073,-1.3039885432252607,-0.7471897237737241,87
Female,Freelancer,-1.8676889265925394,2.1133511209780793,-0.5369053241411906,-1.0695936338949326,94
Female,Teacher,-1.5340792758084394,1.3047358733308465,-1.1381327120719482,1.3484356920141314,100
Female,Engineer,0.13396897811205893,0.9064626916538511,-1.6149682266377217,-0.17760948255958883,100
Male,Scientist,0.7473802714892749,0.68922277437549,-2.319855509039299,0.2630091946060628,71
Female,Driver,-0.36106469724499224,0.04957190683364918,1.2184022222313657,-1.3060231679838188,68
Female,Scientist,-0.21040227431023692,1.5702513277821766,-2.1470890182545985,-0.4247858136525154,83
Female,Office Worker,0.23082339285582967,-0.569964153552788,0.3683910875706394,0.48869193169090874,89
Male,Scientist,-0.7000551488481903,-0.18375985616903495,0.9557971562386206,0.4027175556585864,81
Male,Manager,1.0648475198160794,0.07370967542013358,-0.8409743479222637,-1.0266064458787714,67
Female,Manual Laborer,-0.4363959087123699,0.5081895099768557,-0.21210432146595395,-0.16686268555554853,88
Male,Freelancer,-2.1528713700047537,2.4915094954996704,-1.4698443743785732,-0.07014151251918611,93
Female,Technician,0.16087298220755122,-1.0929491395932867,0.658638792088936,1.5741184290989778,89
Female,Technician,-1.0713304053659785,-0.12743839613390442,0.5549788976181156,1.6063588201110985,92
Female,Retail Worker,-1.318847243044504,0.4237073199241598,1.3289727763335741,-0.5644941747050393,84
Female,Engineer,0.4568170272579617,-0.3285864676879424,0.1334286601034469,-0.2313434675797903,71
Male,Technician,-0.5386311242752388,0.8340493858943975,-0.5299946645098027,-0.3173178436121127,71
Female,Freelancer,-1.2758008364917168,0.35933993702686756,0.14033931973483477,1.369929286022212,100
Female,Freelancer,1.3069835566755061,-0.6061708064325146,-1.0275621579697398,0.6069066987353517,86
Male,Manager,-0.4525383111696647,0.7012916586687323,0.14724997936622325,-1.198555197943416,91
Female,Manual Laborer,0.27925060022771503,1.3007129118997658,-2.312944849407911,-0.4355326106565557,83
Male,Artist,-2.325056996215902,1.8156519750781028,0.2163565756801032,-0.5430005806969587,89
Female,Entrepreneur,1.5867851992686228,-0.7389285336581798,-1.082847435020844,0.48869193169090874,87
Female,Retail Worker,0.34382021005689617,-0.7188137265027761,0.5618895572495034,0.34898357063838514,81
Female,Freelancer,-0.6085815349235179,-0.3929538505852343,0.4236763646217436,1.6063588201110985,78
Male,Healthcare Worker,0.7635226739465697,-0.9601914123676217,-0.36413883335649017,1.6063588201110985,91
Female,Office Worker,-0.9852375922604047,1.8196749365091835,-0.9239022634989199,-1.4457315290363428,95
Female,Manager,1.2800795525800148,-1.491222321270282,1.4464539900671705,-0.8224173028020061,68
Female,Manager,2.3024317082087076,-0.8032959165554721,-0.744225113082831,-1.3060231679838188,79
Female,Scientist,-0.16197506693835154,-0.26019612335956954,-0.3779601526192665,1.6063588201110985,89
Male,Manager,2.5768525499827253,-1.6481178170824315,-0.10153376736374559,-0.5859877687131199,62
Female,Engineer,-1.03366479963229,0.5806028157363097,1.2875088185452457,-1.4887187170525036,77
Male,Entrepreneur,2.8458925909376442,-1.978000654431054,-0.5852799415609069,0.5101855256989893,73
Male,Manager,1.3069835566755061,-0.45329827205144585,0.14033931973483477,-1.6176802811009872,69
Female,Entrepreneur,2.4315709278670683,-1.978000654431054,-0.06698046920680562,0.5316791197070699,76
Female,Technician,-0.8937639783357317,1.4938150605916425,-2.4442473824042836,1.6063588201110985,79
Male,Teacher,-1.0767112061850772,2.370820652567248,-2.07107176230933,-0.9621256638545298,95
Female,Office Worker,-1.0982344094614707,1.5058839448848844,-0.3848708122506544,-1.241542385959577,84
Female,Manual Laborer,-0.4902039169033535,-0.8354796080041181,1.335883435964962,1.144246548937366,82
Male,Entrepreneur,2.1732924885503464,-1.978000654431054,1.1700276048116496,-0.8761512878222075,71
Female,Driver,0.5160058362680445,-0.5578952692595456,0.45822966277868415,-0.2528370615878709,85
Male,Artist,-1.749311308572375,1.457608407711915,0.40294438572757996,-1.0266064458787714,90
Female,Driver,0.40300901906697806,-1.05674248671356,1.0041717736583369,0.45645154067878785,85
Female,Manager,-0.5493927259134355,0.3110643998538987,0.5826215361436683,-0.6397217537333212,74
Female,Technician,0.10168417319746836,-0.9682373352297833,0.5066042801984004,1.5848652261030178,89
Female,Consultant,1.3392683615900967,-1.237775751112194,-0.28812157741122235,1.0797657669131242,90
Female,Technician,-1.0874728078232736,1.6627794406970342,-2.0503397834151667,0.9185638118525201,87
Female,Manager,2.39390532213338,-1.3423727483202939,-0.8133317093967115,0.058820051529297424,79
